Model.Year,Type,Weight,Horsepower,Acceleration,MPG,CO2
1996,Van,4156.499,162.2069,11.641,18.78995,472.96554
1997,Van,4152.318,160.8909,11.6904,18.6657,476.11389
1998,Van,4141.207,163.6018,11.8247,19.15886,463.85846
1999,Van,4169.083,165.0379,11.7243,18.84806,471.50748
2000,Van,4156.206,163.2157,11.2801,19.14557,464.18044
2001,Van,4429.633,189.9225,10.422,19.02065,467.22895
2002,Van,4373.491,188.512,10.5493,19.3172,460.05627
2003,Van,4285.77,190.5209,10.2348,19.73423,450.33434
2004,Van,4382.39,193.1115,10.2923,19.76433,449.64832
2005,Van,4285.403,195.6745,9.9953,19.5607,454.32946
2006,Van,4360.606,190.5617,10.3453,19.65297,452.19627
2007,Van,4401.306,192.637,10.4057,19.24648,461.74679
2008,Van,4554.314,179.0161,10.8124,19.70394,451.02647
2009,Van,4577.07,194.9012,10.0701,19.81802,448.43031
2010,Van,4580.212,200.3861,9.8787,19.68687,451.4175
2011,Van,4500,283,7.7369,20.71909,428.92807
2012,Van,4500,283,7.7377,20.82896,426.66554
2013,Van,4726.611,283,7.9511,20.54878,432.48301
2014,Van,4502.066,283.0004,7.7396,20.83248,426.59354
2015,Van,4448.675,277.7135,7.7716,20.96045,423.98907
2016,Van,4443.589,277.1896,7.775,20.98521,423.48874
2017,Van,4455.762,278.9064,7.4226,22.16523,400.36035
2018,Van,4475.478,276.1982,7.4328,22.86345,385.58215
2019,Van,4467.08,279.4706,7.5476,21.85641,405.86894
2020,Van,4480.762,276.43,7.2648,23.46491,375.65041
2021,Van,4534.419,260.8847,7.5504,25.27696,341.35825
2022,Van,4414.911,261.2708,7.4131,25.03636,347.254
2004,SUV,4000,184.6395,9.9506,18.27743,486.22818
2005,SUV,4000,180.0242,10.1025,18.44626,481.77779
2006,SUV,4208.139,182.4883,10.327,18.36901,483.80403
2007,SUV,4396.864,212.7223,9.7444,19.53076,455.02581
2008,SUV,4425.463,217.971,9.6439,19.67818,451.61705
2009,SUV,4468.721,213.4502,9.6539,19.8963,446.66594
2010,SUV,3944.251,211.336,8.9085,23.04121,385.70019
2011,SUV,3910.779,219.5907,8.6452,22.45286,395.80709
2012,SUV,3841.346,209.2364,8.8282,22.46269,395.63382
2013,SUV,3843.451,230.3224,8.2872,22.23085,399.75987
2014,SUV,3968.37,245.9716,8.0368,21.43701,414.56336
2015,SUV,3934,230.9804,8.3911,21.45946,414.12967
2016,SUV,4340.867,290,7.366,20.63802,430.61309
2017,SUV,4342.033,290,7.3616,20.68381,429.65976
2018,SUV,4330.727,290,7.3462,20.62821,430.81787
2019,SUV,4334.017,290,7.3428,20.66645,430.02071
2020,SUV,4500,291,7.0052,22.34544,397.70969
2021,SUV,4452.668,279.948,7.2532,22.74397,390.74089
2022,SUV,4143.756,224.1004,7.977,25.66301,344.8887
1995,Truck,3500,110.1362,12.7015,19.9385,445.72057
1996,Truck,3500,130,12.0952,18.80698,472.53721
1997,Truck,3500,130,11.9764,19.5149,455.39568
1998,Truck,3500,130,12.4269,19.74496,450.08954
1999,Truck,3500,130,12.3873,19.66743,451.86388
2000,Truck,3500,130,11.864,18.92064,469.69875
2001,Truck,3500,130,11.7344,18.38573,483.36395
2002,Truck,4532.478,173.3641,11.1114,16.89499,526.01392
2003,Truck,4772.994,192.546,10.4781,15.93106,557.84104
2004,Truck,4764.262,193.5856,10.419,16.64234,533.99956
2005,Truck,4732.92,192.2735,10.2678,17.03464,521.70154
2006,Truck,4435.821,211.2977,9.4812,17.85383,497.76434
2007,Truck,4423.206,235.4095,8.9885,18.94081,469.1984
2008,Truck,4393.129,229.4172,9.2045,18.95241,468.91127
2009,Truck,4358.658,230.7852,9.0092,19.26964,461.1917
2010,Truck,4362.053,228.6269,9.1316,19.95931,445.25592
2011,Truck,4140.796,223.179,8.8117,22.49743,395.02288
2012,Truck,4202.923,243.7138,8.3126,21.88888,406.0053
2013,Truck,3541.859,183.0323,9.0925,23.39044,379.94147
2014,Truck,4020.024,229.625,8.4276,21.34177,416.41341
2015,Truck,4124.129,237.6715,8.3986,21.54716,412.44423
2016,Truck,4321.817,258.4811,8.1002,21.59258,411.57648
2017,Truck,4291.733,243.3847,8.4699,21.9685,404.53382
2018,Truck,4254.139,233.8793,8.6727,22.13232,401.53938
2019,Truck,4200.513,229.2681,8.4767,23.15501,383.80463
2020,Truck,4285.968,245.2183,8.1221,22.87288,388.53876
2021,Truck,4073.495,229.5402,8.2178,24.64126,360.65519
2022,Truck,4265.104,247.5862,7.8404,24.2479,365.36161
1983,Van,4515.856,134.0185,15.7225,13.8263,642.76062
1984,Van,4389.264,142.3902,14.962,14.10065,630.25442
1985,Van,4464.107,145.4027,14.6748,13.7745,645.1777
1986,Van,4217.688,131.0761,14.6912,16.74208,530.81819
1987,Van,4247.209,148.8331,13.6393,16.62853,534.4429
1988,Van,4357.654,149.6339,13.9491,16.42429,541.08888
1989,Van,4273.552,148.7489,13.3893,16.715,531.67823
1990,Van,4316.913,155.164,12.3004,16.26502,546.38734
1991,Van,4283.366,156.3946,12.3071,16.61869,534.75935
1992,Van,4426.95,156.4597,12.243,16.43962,540.58438
1993,Van,4279.68,157.5135,11.2447,17.36496,511.77786
1994,Van,4436.626,161.0809,11.2176,16.59128,535.64293
1995,Van,4181.792,149.0048,11.6235,18.00281,493.64505
1996,Van,4213.996,177.6914,10.9483,17.73514,501.09551
1997,Van,4408.041,177.0793,11.2222,17.13686,518.58989
1998,Van,4204.556,186.2044,10.8447,18.40519,482.85299
1999,Van,4577.854,198.0167,10.8298,17.21557,516.21887
2000,Van,4543.004,199.8607,10.2415,17.68951,502.38826
2001,Van,5336.77,240.5365,9.795,14.74386,602.7595
2002,Van,4570.027,202.2561,10.1932,17.71563,501.64739
2003,Van,4613.125,205.0152,10.0569,17.93882,495.40593
2004,Van,4619.738,203.0593,10.1163,17.39573,510.8726
2005,Van,4463.817,203.5956,9.705,18.8136,472.37112
2006,Van,4530.271,208.1224,9.7311,18.13697,489.99361
2007,Van,4282.774,200.962,9.633,19.68613,451.43461
2008,Van,4500,265,8.2426,19.31537,460.09986
2009,Van,4500,265,8.0317,19.61724,453.01994
2010,Van,3500,140,11.6142,23.38157,380.08564
2011,Van,3777.185,150.8069,11.5085,21.60912,411.26145
2012,Van,3720.624,144.8263,11.7979,22.28005,398.87697
2013,Van,3669.904,142.7546,11.7623,22.54292,394.22584
2014,Van,4122.819,180.4212,10.0903,22.54188,394.2439
2015,Van,4194.428,185.5978,9.969,22.84393,389.03117
2016,Van,4244.389,186.7228,9.9918,21.9155,405.512
2017,Van,4296.808,190.0981,9.9656,21.53825,412.61468
2018,Van,4351.006,190.8886,9.985,21.28612,417.50213
2019,Van,4348.642,180.7886,10.02,23.13507,384.13541
2020,Van,4257.046,173.5781,9.9953,24.17712,367.57889
2021,Van,4094.224,165.3241,10.1162,24.97433,355.84537
2022,Van,4064.447,165.8437,10.0672,24.77264,358.7425
1978,Sedan,3884.874,130.0941,13.8785,15.82507,561.57712
1979,Sedan,3620.699,119.2546,14.531,16.34955,543.5622
1980,Sedan,3186.485,105.2723,15.0135,19.14727,464.13925
1981,Sedan,3064.592,100.8547,15.1151,19.91488,446.24925
1982,Sedan,3054.248,96.4577,16.8706,20.90542,425.10507
1983,Sedan,3212.402,106.4655,14.7455,20.36662,436.35134
1984,Sedan,3189.431,105.6298,14.6153,21.57953,412.41157
1985,Sedan,3200.603,118.6718,13.4627,22.13667,401.64565
1986,Sedan,3213.291,118.0022,12.8655,22.70129,391.61652
1987,Sedan,3231.829,114.7558,13.3449,22.55928,394.00263
1988,Sedan,3248.501,125.3877,12.8852,22.85407,388.85849
1989,Sedan,3288.747,119.8419,12.7351,22.77558,390.1987
1990,Sedan,3401.491,125.7492,11.7848,22.15135,401.19473
1991,Sedan,3280.01,131.8364,11.5394,22.87536,388.4966
1992,Sedan,3429.011,145.4215,10.8697,22.3851,397.00522
1993,Sedan,3295.962,134.675,10.5032,23.22283,382.68369
1994,Sedan,3405.056,142.3863,10.1874,22.63123,392.68737
1995,Sedan,3366.863,146.4957,10.2443,22.99291,386.51042
1996,Sedan,3494.916,156.8767,10.3322,21.7827,407.98438
1997,Sedan,3425.289,153.8721,10.3298,22.23177,399.74316
1998,Sedan,3350.481,152.4533,10.4515,22.57513,393.66332
1999,Sedan,3416.017,163.2665,10.064,22.32741,398.03086
2000,Sedan,3446.035,173.4955,9.4664,22.14869,401.24264
2001,Sedan,3465.014,166.9637,9.4439,21.81937,407.29873
2002,Sedan,3460.85,169.2683,9.4783,21.93167,405.21307
2003,Sedan,3607.791,182.4237,9.1696,21.51818,412.99954
2004,Sedan,3713.784,192.2474,8.8719,20.75075,428.27377
2005,Sedan,3638.919,184.6111,8.9388,21.74315,408.72638
2006,Sedan,3675.684,194.6832,8.6931,21.54785,412.431
2007,Sedan,3582.654,188.4128,8.8927,22.19759,400.35879
2008,Sedan,3666.873,206.9767,8.5112,22.49849,395.00422
2009,Sedan,3557.351,193.7145,8.6291,23.41516,379.54041
2010,Sedan,3596.055,198.101,8.4749,24.69814,359.82468
2011,Sedan,3602.109,207.1983,8.3583,25.27838,351.56531
2012,Sedan,3380.728,194.6808,8.223,27.50035,323.09415
2013,Sedan,3536.752,202.0614,8.0706,28.3599,313.19305
2014,Sedan,3474.653,200.4246,8.0971,28.06012,316.51117
2015,Sedan,3597.71,213.3003,7.9734,27.65721,321.13369
2016,Sedan,3558.904,204.503,8.0876,28.01381,316.02651
2017,Sedan,3717.297,213.1293,8.0251,27.70497,319.28541
2018,Sedan,3663.036,206.5437,8.1308,28.38424,312.53746
2019,Sedan,3687.225,220.9885,7.8867,28.08554,315.33004
2020,Sedan,3835.549,260.4481,7.2313,25.83042,343.28719
2021,Sedan,4336.613,369.4195,4.6413,29.94343,258.51685
2022,Sedan,4037.621,412.614,4.9549,20.88313,425.55888
1978,SUV,5000,164.9601,13.927,11.23276,791.16824
1979,SUV,5000,177,13.6594,9.32572,952.95559
1980,SUV,4738.081,142.005,15.7473,11.84776,750.09947
1981,SUV,4686.098,136.7568,15.8575,12.8428,691.98321
1982,SUV,4676.692,137.6098,16.8811,12.52853,709.34094
1983,SUV,4673.315,136.9439,15.5719,12.97625,684.86641
1984,SUV,3988.598,118.8089,16.0822,15.59458,569.87738
1985,SUV,3977.593,126.5018,14.934,15.99505,555.61185
1986,SUV,3975.488,145.6565,12.6884,16.84002,527.7309
1987,SUV,3972.164,145.0166,12.8352,16.95075,524.28368
1988,SUV,4004.306,148.9419,12.8599,16.55009,536.97605
1989,SUV,4494.458,153.2214,13.0484,15.66953,567.15176
1990,SUV,4584.336,160.1225,12.0199,15.19392,584.90502
1991,SUV,4491.088,172.1609,11.4688,16.5834,535.8973
1992,SUV,4501.691,170.6913,11.3292,16.37663,542.66344
1993,SUV,4514.229,173.3766,10.5294,16.42573,541.04127
1994,SUV,4511.45,173.0322,10.5095,16.41953,541.24578
1995,SUV,4557.454,171.446,10.8423,16.21199,548.17458
1996,SUV,4538.894,167.3941,11.4623,16.23994,547.23108
1997,SUV,4762.139,190.7168,10.6853,15.42089,576.29614
1998,SUV,4947.201,198.65,10.9602,15.03314,591.16072
1999,SUV,5040.978,218.4447,10.3549,14.92764,595.33872
2000,SUV,5009.859,220.6537,9.8102,15.14305,586.86975
2001,SUV,4429.136,210.2609,9.3126,17.02483,522.0024
2002,SUV,4552.089,219.625,9.2399,15.9322,557.80119
2003,SUV,4958.373,231.8413,9.3069,15.48812,573.79468
2004,SUV,4915.873,229.8399,9.3261,15.56551,570.94189
2005,SUV,4760.4,232.529,9.211,16.2322,547.49205
2006,SUV,4947.223,236.4896,9.2816,16.27771,545.96135
2007,SUV,4736.041,236.3425,9.0516,17.02911,521.87121
2008,SUV,4582.486,224.9824,9.3371,18.00247,493.65448
2009,SUV,4468.407,238.2053,8.4917,19.26984,461.1871
2010,SUV,4716.972,244.2374,8.7013,18.51304,480.04003
2011,SUV,4725.046,268.657,8.1351,19.58859,453.68246
2012,SUV,4658.53,264.1008,8.1471,19.75273,449.91238
2013,SUV,4677.863,272.352,8.0129,20.78488,427.57034
2001,SUV,3500,192.6124,8.7831,19.98244,444.7405
2002,SUV,3500,195.023,8.8432,20.23017,439.2943
2003,SUV,3500,196.3128,8.7271,20.2702,438.42695
2004,SUV,3500,195.3823,8.7715,20.23759,439.13338
2005,SUV,3500,180.089,9.2924,20.88968,425.42528
2006,SUV,3500,170.564,9.7224,21.31064,417.02165
2007,SUV,4000,244,7.5449,19.29414,460.60623
2008,SUV,3767.059,204.3044,8.8536,21.05886,422.00774
2009,SUV,3839.238,221.2624,7.9203,21.27482,417.72382
2010,SUV,3563.62,173.0323,9.4337,23.37011,380.27213
2011,SUV,3517.843,164.7805,9.6719,23.4209,379.4474
2012,SUV,4000,162.2623,10.5175,23.17976,383.3948
2013,SUV,3500,155,9.8727,29.11834,305.20282
2014,SUV,3500,176.2531,9.016,28.1971,315.17429
2015,SUV,3500,178.0798,8.9586,28.09636,316.30427
2016,SUV,3500,183.5581,8.7418,29.49098,301.34636
2017,SUV,4000,187,9.3143,27.64811,321.4325
2018,SUV,4000,186.9974,9.3144,28.59543,310.78981
2019,SUV,4000,187,9.3143,28.58692,310.87647
2020,SUV,3909.244,186.8185,9.1977,28.76499,308.95191
2021,SUV,3840.568,187.9772,9.0605,28.82142,308.3471
1989,Van,3998.451,142.2852,13.4874,18.96781,468.53064
1990,Van,3999.801,146.5241,12.5889,16.97351,523.58053
1991,Van,3998.939,146.1468,12.7474,16.98451,523.24133
1992,Van,4081.306,152.8124,12.1029,17.79179,499.50014
1993,Van,4050.358,155,11.1461,17.86285,497.51288
1994,Van,4067.078,150.595,11.5037,17.74016,500.9539
1995,Van,4089.016,152,11.7442,17.32797,512.87012
1996,Van,4133.196,152,12.1742,17.18332,517.18754
1997,Van,4178.131,152,12.2342,16.91877,525.2747
1998,Van,4287.192,152,12.8271,16.44111,540.53514
2000,Van,4000,170,10.8745,18.73618,474.32286
2001,Van,4000,160,11.1412,18.74688,474.05219
2002,Van,4000,200,9.6766,19.28237,460.8874
2003,Van,4000,200,9.3122,19.26793,461.23281
2004,Van,4000,200,9.3293,19.19993,462.8662
2005,Van,4000,200,9.2718,19.10595,465.14302
2006,Van,4000,200,9.3526,19.04093,466.73148
2008,Van,3500,153,10.6323,24.0956,368.82244
2009,Van,3500,153,10.3938,23.77998,373.71772
2010,Van,3500,153,10.4975,24.10831,368.62804
2012,Van,3500,157,10.2669,24.70481,359.72747
2013,Van,3500,157,10.2654,24.73984,359.21822
2014,Van,3500,157,10.2728,24.77774,358.6687
2015,Van,3500,157,10.2981,24.77294,358.73825
1978,Sedan,2269.028,54.1195,17.9383,30.15514,294.70929
1979,Sedan,2553.769,91.7479,14.7273,21.85867,406.56636
1980,Sedan,2558.682,78.3664,16.061,22.1758,400.75224
1981,Sedan,2448.511,76.5398,15.7567,26.42112,336.35969
1982,Sedan,2522.581,78.9192,16.8161,24.99413,355.56349
1983,Sedan,2493.315,84.6217,14.4615,24.5849,361.4821
1984,Sedan,2548.209,84.6495,14.683,25.59263,347.44818
1985,Sedan,2546.579,84.6409,14.5039,25.28988,351.59434
1986,Sedan,2693.095,102.3162,12.7446,24.98897,355.63694
1987,Sedan,2715.668,104.4024,12.8181,24.73318,359.31491
1988,Sedan,2870.296,113.2654,12.6018,23.98438,370.53277
1989,Sedan,2857.314,108.0961,12.5451,24.73892,359.23159
1990,Sedan,2869.85,114.2833,11.2071,25.0359,354.97026
1991,Sedan,2865.582,112.9198,11.3921,25.16418,353.16068
1992,Sedan,2898.366,118.5412,11.0516,25.30253,351.22975
1993,Sedan,2889.551,123.2308,10.0759,24.87249,357.30245
1994,Sedan,2877.15,119.3632,10.177,24.98103,355.74999
1995,Sedan,2981.212,123.3303,10.6664,25.1824,352.90525
1996,Sedan,2895.248,117.6971,11.2348,25.75533,345.05481
1997,Sedan,2914.356,118.6981,11.195,25.11996,353.78239
1998,Sedan,3017.585,124.9985,11.4511,24.35268,364.92903
1999,Sedan,2925.695,128.5508,10.8067,24.36934,364.6795
2000,Sedan,2955.086,128.7726,10.4123,24.1325,368.25864
2001,Sedan,3035.512,135.2325,10.0335,23.49263,378.28881
2002,Sedan,3075.766,137.9002,10.0286,23.5601,377.20557
2003,Sedan,3160.194,151.6677,9.4697,23.78377,373.6582
2004,Sedan,3292.425,184.402,8.4204,22.28092,398.86139
2005,Sedan,3237.805,171.4746,8.771,23.26105,382.05501
2006,Sedan,3215.617,171.8628,8.64,23.94297,371.17374
2007,Sedan,3193.914,165.3953,8.9698,24.45399,363.41711
2008,Sedan,3132.502,161.6856,9.0744,25.15415,353.3016
2009,Sedan,3292.237,175.4967,8.6604,24.67233,360.20104
2010,Sedan,3245.549,163.5392,8.9735,26.30099,337.89599
2011,Sedan,3127.316,153.7635,9.2973,26.74653,332.26734
2012,Sedan,3089.133,156.5178,8.9939,29.11001,305.29018
2013,Sedan,2997.372,153.3085,9.0004,29.86881,297.53444
2014,Sedan,3138.768,162.496,8.7685,32.2234,275.79339
2015,Sedan,3185.374,167.599,8.5166,32.58697,272.71639
2016,Sedan,3123.836,163.7314,8.5834,32.48981,273.53195
2017,Sedan,3205.841,167.3299,8.5699,31.45438,282.53621
2018,Sedan,3383.682,178.8617,8.4117,30.90383,287.56952
2019,Sedan,3247.739,174.2656,8.4779,30.51457,291.23788
2020,Sedan,3380.331,185.9372,8.2106,30.31753,293.13071
2021,Sedan,3400.545,190.5638,8.0919,29.96929,296.53693
2022,Sedan,3311.419,187.5124,8.0184,30.61676,288.76584
2000,Truck,5000,282,8.1471,14.30324,621.32775
2001,Truck,4797.2,246.7278,8.8528,15.6503,567.84847
2002,Truck,5000,242.6807,9.3534,16.33352,544.09596
2003,Truck,5000,244.2155,9.2353,16.23491,547.40052
2004,Truck,4507.58,228.2918,9.1258,17.4499,509.28657
2005,Truck,4561.927,239.2847,8.8612,17.22956,515.79946
2006,Truck,4542.519,242.1816,8.8243,17.19659,516.7885
2007,Truck,4581.096,274.7487,8.0051,18.8441,471.6066
2008,Truck,4752.617,278.13,8.1485,18.45165,481.63703
2009,Truck,4983.638,284.087,8.0953,18.27006,491.08074
2010,Truck,4935.214,291.5804,8.1156,18.92469,480.03637
2011,Truck,4963.965,299.9279,7.4256,20.27729,447.33986
2012,Truck,5026.968,299.6282,7.4679,20.07309,452.80698
2013,Truck,4725.611,289.9399,7.1693,20.63551,432.85815
2014,Truck,4602.333,285.6711,7.1334,22.73428,393.25918
2015,Truck,4803.38,294.3128,7.2242,22.65351,397.3735
2016,Truck,4704.794,286.866,7.1311,22.39334,395.83376
2017,Truck,4650.112,284.4615,7.0934,22.54566,393.4359
2018,Truck,4852.465,293.5398,7.1216,22.91331,386.9586
1991,SUV,4329.707,170,11.1816,17.15016,518.18774
1992,SUV,4500,170,11.0568,17.0923,519.9417
1993,SUV,4500,170,10.4829,17.12692,518.89075
1994,SUV,4382.8,170,10.3409,16.89646,525.96805
2001,SUV,3500,197.1563,8.8665,19.16299,463.75854
2002,SUV,3500,197.9363,8.9774,19.23216,462.09057
2003,SUV,3500,199.1526,8.8615,19.04519,466.62703
2004,SUV,3500,198.8035,8.8886,18.97797,468.27986
2005,SUV,3916.056,192.1093,9.6679,19.03466,466.88507
2006,SUV,3850.216,185.5777,9.8771,19.60956,453.19729
2007,SUV,4210.511,251.9994,7.8419,18.63673,476.8541
2008,SUV,4303.341,256.0524,8.075,18.77463,473.35153
2009,SUV,4357.172,263.1744,7.7005,18.54195,479.29154
2010,SUV,4407.629,266.2725,7.7813,18.58884,478.08247
2011,SUV,4422.994,267.5853,7.7796,19.60595,453.28073
2012,SUV,4497.196,272.8374,7.7442,19.59921,453.43662
2013,SUV,3967.471,209.6291,9.0494,23.33215,380.89082
2014,SUV,4102.04,206.816,9.1562,24.25751,366.3608
2015,SUV,4125.088,206.6792,9.1608,24.44917,363.48888
2016,SUV,4052.669,191.0505,9.4268,26.24295,338.64336
2017,SUV,4079.494,193.3596,9.3834,25.78301,344.68437
2018,SUV,4134.91,197.788,9.2591,26.33685,337.44755
2019,SUV,4118.83,202.7336,9.0547,26.036,341.53584
2020,SUV,4014.074,198.5681,9.0808,26.43071,336.2377
2021,SUV,3999.234,201.1459,8.9666,26.22289,338.90239
2022,SUV,3959.736,197.1886,9.0797,26.48172,335.58997
1998,Truck,4500,215,9.7543,17.4368,509.66936
1999,Truck,5000,231.7566,9.89,16.56387,536.52906
2000,Truck,5500,230.5689,10.0193,16.57263,536.24557
2001,Truck,5500,230.9942,10.0116,16.82251,528.28027
2002,Truck,5000,237.4247,9.4656,15.36176,578.51437
2003,Truck,5138.257,243.3638,9.2846,15.0693,589.74205
2004,Truck,5534.652,246.2012,9.6066,14.98779,592.94918
2005,Truck,5047.569,251.9371,8.9747,14.89961,596.4587
2006,Truck,5005.102,275.9587,8.0004,16.80824,528.72892
2007,Truck,5290.103,302.5617,7.9272,16.18916,554.09454
2008,Truck,5478.468,298.2865,8.293,16.64729,544.32285
2009,Truck,5385.282,295.3697,8.0743,16.6677,542.04452
2010,Truck,5120.564,284.1114,8.0306,17.16722,522.49761
2011,Truck,5302.199,288.0463,8.1302,16.96563,531.46932
2012,Truck,5287.111,294.5182,8.0757,18.38559,493.85804
2013,Truck,5265.962,319.208,7.5493,19.20495,469.97984
2014,Truck,5242.747,316.941,7.604,19.32331,468.09022
2015,Truck,5018.589,299.6858,7.7131,20.39211,440.6417
2016,Truck,5069.886,301.7019,7.6147,20.42757,436.73027
2017,Truck,5205.679,309.5215,7.348,20.03668,443.40678
2018,Truck,4982.538,300.3354,7.3976,20.86245,425.56757
2019,Truck,4989.722,293.4398,7.2068,20.95224,421.95309
2020,Truck,4934.852,285.7498,7.2175,21.89509,405.50602
2021,Truck,4984.259,316.7564,6.7962,21.93323,405.18429
2022,Truck,4952.05,290.7083,7.094,22.07983,402.494
2010,SUV,4500,268,7.5803,19.08004,465.77475
2011,SUV,4000,268,7.0959,18.89494,470.33749
2012,SUV,4157.26,268,7.2471,19.00323,467.65729
2013,SUV,4500,302,7.0458,22.00229,403.91258
2014,SUV,4500,302,7.0458,22.0829,402.43804
2015,SUV,4500,302,7.0458,22.0836,402.42534
2016,SUV,4000,241,7.0328,25.0936,354.15408
2017,SUV,3842.838,230.6273,7.1933,26.13885,339.99201
2018,SUV,3837.385,230.2674,7.1989,26.23089,338.79908
2019,SUV,3854.187,231.3763,7.1817,25.76956,344.86427
2020,SUV,3907.036,246.2614,6.9711,26.32342,337.60814
2021,SUV,4000,237.5038,7.2057,26.83591,331.16069
2022,SUV,4039.374,243.0021,7.0356,26.28142,334.56621
2016,Van,4734.335,208,9.2937,22.3883,396.94832
2017,Van,4702.475,208,9.2587,22.4671,395.55624
2018,Van,4832.828,208,9.402,21.54017,412.57796
2019,Van,4718.815,208,9.2767,21.8858,406.06238
2020,Van,4522.588,208,9.0609,22.44489,395.94766
2021,Van,4630.81,208,8.6512,20.74475,428.39761
2022,Van,4509.365,208,8.5253,22.01012,403.76877
1978,Sedan,3971.459,128.4329,15.4767,15.89801,588.60043
1979,Sedan,3949.518,118.6649,16.5521,17.41057,548.03095
1980,Sedan,3780.852,101.5791,17.7627,20.30241,480.32762
1981,Sedan,3747.266,103.2452,17.4025,21.69525,451.06904
1982,Sedan,3889.729,115.4543,17.5018,22.2821,440.397
1983,Sedan,3477.815,107.2507,15.72,22.42561,417.22497
1984,Sedan,3329.512,113.9979,14.4997,22.08689,415.05523
1985,Sedan,3699.926,134.0871,13.4218,19.62952,474.22045
1986,Sedan,3686.085,180.494,10.4546,17.90609,500.18377
1987,Sedan,3647.985,176.3154,10.711,18.61285,488.62345
1988,Sedan,3650.437,182.3788,10.5794,17.78644,499.99898
1989,Sedan,3743.152,185.6439,10.1733,17.82522,498.75634
1990,Sedan,3828.799,190.0228,9.6062,17.79946,501.03678
1991,Sedan,3836.136,187.6179,9.919,18.56758,482.9494
1992,Sedan,3995.72,213.3341,9.3006,18.17669,492.09695
1993,Sedan,4147.069,216.2402,8.7333,18.92394,469.61674
1994,Sedan,4099.017,228.4332,8.1961,19.5682,454.81117
1995,Sedan,4082.009,217.9633,8.7871,20.29569,440.49973
1996,Sedan,4016.454,199.9279,9.5921,20.7918,429.32812
1997,Sedan,4013.587,225.1008,8.5297,20.63856,431.81912
1998,Sedan,3878.153,212.8497,8.9293,22.18881,401.88115
1999,Sedan,3879.585,222.9132,8.4609,21.50476,414.77064
2000,Sedan,4017.768,242.4735,7.8406,20.37646,436.14056
2001,Sedan,3940.982,240.6548,7.6863,20.25004,438.86325
2002,Sedan,3886.698,229.3922,8.0687,19.95043,445.45396
2003,Sedan,3919.952,247.6569,7.6936,19.75119,449.94747
2004,Sedan,3949.198,243.3851,7.7789,19.75279,449.91121
2005,Sedan,3868.864,239.3357,7.7564,20.08637,444.23485
2006,Sedan,4158.771,267.0497,7.222,19.35834,460.28284
2007,Sedan,4271.827,294.6432,7.0272,18.77113,474.4517
2008,Sedan,3997.505,268.0829,7.6449,20.29979,438.84602
2009,Sedan,3930.005,261.4784,7.5337,20.59859,432.01842
2010,Sedan,4144.731,273.465,7.1734,19.98514,444.68034
2011,Sedan,4140.975,269.6579,7.2556,20.34556,437.47162
2012,Sedan,4049.46,276.9347,7.106,22.80448,390.68417
2013,Sedan,3915.286,266.4376,7.3004,23.97028,370.81887
2014,Sedan,4055.095,275.6821,7.0386,24.79317,357.64071
2015,Sedan,3966.894,276.0132,6.9926,25.69462,344.76627
2016,Sedan,3952.253,273.7727,6.8936,25.71735,344.98965
2017,Sedan,4070.459,277.8432,6.6794,25.85936,342.51332
2018,Sedan,4068.908,283.743,6.4808,25.85901,342.80604
2019,Sedan,4092.612,295.9659,6.3198,25.5484,347.61929
2020,Sedan,4051.948,304.8621,6.1772,25.55655,347.73645
2021,Sedan,4077.212,310.9836,6.0744,25.97827,342.09356
2022,Sedan,4453.963,339.9186,5.4967,26.7061,324.51212
2000,SUV,4000,168.7924,10.3299,16.27127,546.17728
2001,SUV,4000,168.8464,10.2,16.48748,539.01489
2002,SUV,4000,169.7305,10.2775,16.62632,534.51397
2003,SUV,4000,209.7633,8.9138,18.37327,483.69181
2004,SUV,4050.673,210.3572,8.95,18.57402,478.46393
2005,SUV,4265.155,257.9044,7.7004,18.76462,473.60411
2006,SUV,4270.671,257.3137,7.776,18.62528,477.14719
2007,SUV,4232.803,253.7106,7.8596,19.03483,466.8811
2008,SUV,3948.5,221.428,8.5721,21.0889,421.40662
2009,SUV,3886.524,230.1913,7.9322,21.74965,408.6043
2010,SUV,3853.756,218.1986,8.2773,22.02925,403.41823
2011,SUV,3721.425,202.6606,8.5429,23.2415,382.37637
2012,SUV,3713.023,206.2923,8.4262,23.47651,378.54864
2013,SUV,3646.284,192.8443,8.7299,24.12142,368.42778
2014,SUV,3656.832,195.1017,8.6618,25.13968,353.50483
2015,SUV,3534.834,174.1487,9.0667,27.39905,324.35428
2016,SUV,3515.493,172.4015,9.0863,28.78776,308.70756
2017,SUV,3531.705,174.2743,9.0555,29.11692,305.2177
2018,SUV,3598.837,169.7696,9.2596,30.12627,294.9917
2019,SUV,3640.627,183.8582,8.9341,29.57519,300.48832
2020,SUV,3607.118,178.0849,9.0501,29.5738,300.5025
2021,SUV,3581.319,189.3996,8.6475,30.41135,292.22642
2022,SUV,3686.427,209.6177,8.0761,32.34187,274.78314
1987,Van,3500,106,15.5378,18.87395,470.86059
1988,Van,3611.351,106,16.0478,18.81185,472.41507
1989,Van,3737.705,106,15.7379,18.61875,477.31442
1990,Van,3451.739,137.489,11.7599,21.27327,417.75425
1991,Van,3381.868,138,11.705,21.73749,408.83284
1992,Van,3500,138,11.9013,21.29905,417.24868
